Hour,Price
0,191.76
1,174.0
2,163.8
3,144.74
4,139.9
5,133.36
6,147.49
7,159.44
8,186.62
9,199.33
10,185.09
11,160.0
12,144.91
13,136.57
14,118.78
15,120.0
16,133.21
17,169.38
18,184.83
19,189.49
20,151.37
21,135.92
22,140.08
23,128.71
