Hour,Price
0,191.76
1,174.0
2,163.8
3,144.74
4,139.9
5,133.36
6,147.49
7,159.99
8,186.81
9,199.33
10,185.09
11,160.0
12,144.91
13,136.57
14,117.8
15,118.76
16,133.82
17,169.96
18,188.27
19,194.06
20,155.36
21,133.0
22,140.09
23,126.3
