Hour,Price
0,195.65
1,180.7
2,174.44
3,172.31
4,174.5
5,177.1
6,186.05
7,191.54
8,189.37
9,167.44
10,152.39
11,144.76
12,116.53
13,114.0
14,111.68
15,151.54
16,176.15
17,229.9
18,275.76
19,274.5
20,220.7
21,187.88
22,172.52
23,149.68
