Hour,Price
0,205.0
1,192.98
2,191.14
3,190.95
4,190.0
5,200.61
6,251.27
7,291.43
8,295.43
9,255.71
10,212.53
11,195.33
12,174.23
13,166.92
14,169.77
15,163.28
16,163.29
17,190.43
18,224.93
19,239.03
20,240.01
21,223.6
22,200.0
23,184.2
