BE_price,DE_price,DK_price,GB_price,NL_price,NO_price,BE_a,BE_b,DE_a,DE_b,DK_a,DK_b,GB_a,GB_b,NL_a,NL_b,NO_a,NO_b,BE_PGLmin,BE_PGLmax,DE_PGLmin,DE_PGLmax,DK_PGLmin,DK_PGLmax,GB_PGLmin,GB_PGLmax,NL_PGLmin,NL_PGLmax,NO_PGLmin,NO_PGLmax
BE,DE,DK,GB,NL,NO,BE,BE,DE,DE,DK,DK,GB,GB,NL,NL,NO,NO,BE,BE,DE,DE,DK,DK,GB,GB,NL,NL,NO,NO
price,price,price,price,price,price,a_CG,b_CG,a_CG,b_CG,a_CG,b_CG,a_CG,b_CG,a_CG,b_CG,a_CG,b_CG,PGL_min,PGL_max,PGL_min,PGL_max,PGL_min,PGL_max,PGL_min,PGL_max,PGL_min,PGL_max,PGL_min,PGL_max
2.881458202,1.952455407,44.29,78.70013882,0.463331012,69.63143512,0.182049964,3.240760616,0.017727882,-2.635612773,0.040631112,120.6765636,0.011503891,67.12976236,0.04993488,17.10108989,0.003111713,74.85062618,0,160.8354354,0,1591.057057,-1485.026597,358.8432432,-2120.802102,3075.897898,0,444.1145145,-10393.87267,5716.827327
2.010565111,1.083658124,46.24,82.05280863,2.3371266,70.46173188,0.202397695,6.43875719,0.01749977,-8.836935994,0.041295226,135.0070037,0.011313298,66.66008732,0.062143568,14.40532184,0.003191441,78.44308866,0,122.1393393,0,1789.796396,-1634.656297,211.3005005,-2046.787788,3332.412212,0,382.0027027,-10888.03524,5255.964765
3.26549049,2.094102268,50.61,83.40326837,2.515067699,72.23936935,0.149213294,13.14835393,0.020967108,4.797811321,0.045929645,144.1388704,0.012395681,68.07948972,0.048904102,21.7844845,0.002649492,74.55143977,-0.190690691,142.4093093,-114.4128063,1085.783584,-1569.126759,192.7878879,-2059.107407,3040.692593,0,376.3061061,-11378.01491,4667.485085
24.13943944,43.21723577,59.47,79.98412259,40.07188732,72.6510682,0.202704801,1.00E-05,0.01898688,5.269804937,0.051048109,148.880139,0.009765675,69.32749882,0.072787271,3.19959918,0.002627255,75.39354795,-2.47E-05,255.3408408,-138.7749021,3517.506507,-1458.233647,182.4634635,-2558.828529,3336.871471,-21.97911221,916.6850851,-11566.51081,4471.489189
51.47866795,49.60036472,64.99,105.3781424,83.09645176,72.58033566,0.214043267,20.12082227,0.013933478,27.58796599,0.067077134,213.9019007,0.011015492,103.0125088,0.048577127,86.16877395,0.0026259,75.26917583,-47.0017641,293.4108108,-989.9885216,3191.415516,-1594.447231,277.7654655,-3218.893994,2590.906006,-886.9274413,658.4061061,-11533.75415,4501.245846
52.90606607,57.8997007,61.74,112.9972613,60.62702984,72.28722643,0.202714254,18.53154691,0.012173767,60.30786721,0.067419535,191.3820506,0.010330154,106.4450806,0.065168954,67.3486543,0.002642616,74.67032323,-45.70854437,320.5928929,-2476.960055,2510.65986,-1419.336783,180.3321321,-3080.997297,2954.602703,-516.7234538,466.8501502,-11383.52372,4667.376276
57.70670549,54.08233299,61.27,94.39225993,60.88723239,72.01983245,0.211629827,24.20269241,0.02067843,27.54597088,0.066952872,165.9579625,0.010655711,87.18105056,0.058100362,72.63695739,0.00267245,73.9393439,-57.18166662,296.3657658,-666.055666,2502.192292,-1239.364023,180.9297297,-2864.312813,3193.487187,-625.0990034,503.5987988,-11192.18829,4797.111712
50.87841441,47.51518305,59.97,83.83763693,59.69028793,70.34296528,0.193685748,18.81661178,0.015896191,20.23604537,0.068242144,146.4874764,0.013229275,64.58628965,0.068855996,60.47425878,0.00315049,77.35898201,-48.57510673,336.7465465,-636.5061085,3463.417718,-1073.291871,258.6086086,-1382.033333,3228.066667,-439.1357468,554.9484484,-10790.8985,5411.201502
31.72993994,42.95883165,54.92,75.36502322,54.8616757,68.65929258,0.275001591,1.00E-05,0.017599744,13.89249833,0.061812589,93.18766606,0.011768077,64.49940093,0.062725971,41.92430895,0.003025255,72.92743483,-1.82E-05,214.6001001,-394.6789959,3481.094795,-753.7919677,548.6465465,-1899.817317,2812.782683,-334.1862106,808.1383383,-10208.80531,6056.094695
40.65538604,46.09728604,47.65,72.86131626,45.83169533,66.89353838,0.219788911,0.18792252,0.019705346,11.1100861,0.073291157,96.2854967,0.009061554,71.02202995,0.068819758,11.79768192,0.002790428,67.02113002,-0.427506826,319.3354354,-281.905376,3357.985586,-656.8698117,255.8594595,-2924.95956,2522.64044,-85.71435229,936.7486486,-9749.296897,6554.903103
