BE_price,DE_price,DK_price,GB_price,NL_price,NO_price,BE_a,BE_b,DE_a,DE_b,DK_a,DK_b,GB_a,GB_b,NL_a,NL_b,NO_a,NO_b,BE_PGLmin,BE_PGLmax,DE_PGLmin,DE_PGLmax,DK_PGLmin,DK_PGLmax,GB_PGLmin,GB_PGLmax,NL_PGLmin,NL_PGLmax,NO_PGLmin,NO_PGLmax
BE,DE,DK,GB,NL,NO,BE,BE,DE,DE,DK,DK,GB,GB,NL,NL,NO,NO,BE,BE,DE,DE,DK,DK,GB,GB,NL,NL,NO,NO
price,price,price,price,price,price,a_CG,b_CG,a_CG,b_CG,a_CG,b_CG,a_CG,b_CG,a_CG,b_CG,a_CG,b_CG,PGL_min,PGL_max,PGL_min,PGL_max,PGL_min,PGL_max,PGL_min,PGL_max,PGL_min,PGL_max,PGL_min,PGL_max
-2.156069521,-0.30292909,0,150.0254799,-0.008559238,155.9155535,0.230689641,-14.8992582,0.002422368,-9.957253541,0.073423169,-265.4498234,0.024341831,150.4402458,0.387197767,-17.79268134,0.006854554,159.8442332,0,93.57957958,0,6940.798398,0,2126.450851,-2488.238289,1592.83003,0,76.96966967,-11659.7107,4303.054454
1.399934717,0.946792996,0.85,154.3811802,0.438349586,155.1734719,0.45756905,3.256623588,0.00592633,-5.148884701,0.078659553,-278.0045619,0.024369613,155.6747609,0.469109174,18.53435295,0.007070078,160.6396834,-3.558614364,66.18768769,0,3957.192492,0,2096.034935,-2559.347129,1549.681982,-19.75483957,33.84344344,-11360.5312,4619.302803
23.7660961,22.78488869,23.53,158.5137051,37.08893894,155.9922112,0.61377587,1.00E-05,0.011777134,21.87947267,0.091782288,-284.9662646,0.02341738,153.2245807,0.602667939,0.273293826,0.006724061,160.1223099,-8.15E-06,78.09129129,-928.8963117,2310.497698,0,1836.654755,-2624.914093,1757.905105,-0.226736656,144.8002002,-11906.66696,4388.615015
41.44324324,36.67732141,36.54,131.8418428,38.47702102,156.0854436,0.834828235,1.00E-05,0.012529843,33.30891291,0.100749109,-232.3628212,0.037624468,98.9579178,0.521263037,1.00E-05,0.006646359,161.3510082,-5.99E-06,72.48918919,-1329.183171,1944.775275,0,1427.68048,-831.96055,1770.115716,-9.59E-06,137.7024024,-12138.3007,4243.640841
40.45025025,46.0405981,46.03,173.4404342,44.85330228,156.0502936,0.313572556,57.1932282,0.011932893,56.4871752,0.077556549,-64.47952908,0.029601518,142.103789,0.421618787,1.00E-05,0.006643541,160.5673122,-91.19616354,57.73743744,-2366.86842,1615.983984,0,765.7138138,-1642.939943,2069.194294,-1.19E-05,193.2761762,-12084.46762,4305.441141
30.26756757,55.5450491,55.57,194.8783417,99.60116554,153.6607621,0.077264071,53.64097896,0.013545967,77.80157405,0.065247804,-7.410628541,0.033692186,183.2723571,0.293824507,119.0782508,0.006660285,157.817602,-347.1275734,51.04654655,-2871.761538,886.4636637,0,437.1586587,-2198.48547,1536.669169,-202.6349878,137.8129129,-11847.66132,4477.713213
54.54160721,54.94750293,54.95,170.6518145,50.54668305,150.1562575,0.079403365,61.07133743,0.01781722,74.31396648,0.063061521,6.757401261,0.028270531,142.0930836,0.376566316,1.00E-05,0.006986513,158.5233847,-384.5639126,69.01511512,-2085.453468,869.7732733,-53.57784869,320.0111111,-1784.683877,2045.918819,-1.33E-05,223.3189189,-11344.9574,4658.415415
45.2360907,48.85892084,49.23,151.0325125,64.30215215,148.054485,0.078096478,55.46383299,0.014638036,45.42365175,0.142075813,17.57963549,0.03268768,124.2837066,0.436083801,1.00E-05,0.007048959,156.7736706,-355.0981709,70.33693694,-1551.562373,1479.991892,-61.86709447,241.4990991,-1255.220893,1857.974875,-1.15E-05,229.260961,-11120.34207,4489.204004
32.70217921,44.79962278,44.99,150.371066,51.50557965,144.9756181,0.724692307,1.00E-05,0.014728066,42.111565,0.129425012,11.27650465,0.025357537,138.4754234,0.455504743,1.00E-05,0.007141121,156.2392442,-6.90E-06,76.2960961,-1429.63662,1714.64995,-43.56385399,252.6561562,-2044.987849,1707.985786,-1.10E-05,213.873974,-10939.40603,4101.07027
47.35585586,45.8539765,45.96,148.0507167,45.83841441,144.7631529,0.876007184,1.00E-05,0.015885401,41.60670961,0.149208088,18.45503825,0.022135676,143.5438414,0.436756698,1.00E-05,0.006980747,152.7310368,-5.71E-06,71.94414414,-1309.589528,1857.384384,-61.84329046,233.1826827,-2601.790766,1698.964164,-1.14E-05,220.7066066,-10939.44794,4304.029129
36.45065065,35.70231273,35,120.1653644,45.16003604,143.6134781,0.779436669,1.00E-05,0.014901651,24.381424,0.12687638,15.66524117,0.022007672,100.1961257,0.400487447,1.00E-05,0.007100226,153.2327838,-6.41E-06,75.6986987,-818.0779432,1938.40981,-61.7342691,203.8294294,-1651.658778,2235.727528,-1.25E-05,194.254955,-10790.69763,4013.922222
70.56863363,57.67892658,57.91,150.0334827,109.7122976,156.0869317,0.518227439,30.74438096,0.029976945,57.13323342,0.052692721,12.39647515,0.021921883,159.1978508,0.273729479,59.98704014,0.006592397,161.0153646,-29.66301921,130.4273273,-952.9529013,889.9831832,-117.6298634,330.8880881,-2964.622754,1265.348549,-109.573584,363.1238238,-12212.20177,3611.912713
57.70808687,52.04817863,51.67,144.9628084,96.80472384,156.0183444,0.619898272,15.18649481,0.029982191,41.05528647,0.087099107,35.74986498,0.026438194,159.8621549,0.178153587,98.31494969,0.006419565,159.2211465,-12.24918305,114.9251251,-684.6612122,1100.900901,-205.2252096,205.7615616,-2455.643655,934.6534535,-275.9275054,233.6653654,-12401.24109,3847.517518
53.8972973,52.17887387,52.93,146.2706186,52.89802675,155.5415162,0.98725058,29.8167919,0.02381931,44.76646946,0.106849483,73.57196184,0.028755429,157.7251738,0.342859402,4.654631545,0.006400099,158.440968,-15.10092397,64.4027027,-939.7096192,917.481982,-344.2785111,275.0473473,-2271.327641,904.3399399,-6.787959609,283.2616617,-12378.00915,3909.676176
43.45214815,42.72915075,44.16,137.7806041,43.21877386,154.8228393,1.280824505,1.00E-05,0.022306734,40.53160827,0.097386141,105.5186005,0.026394931,147.8634336,0.447215611,1.00E-05,0.006447812,158.0681069,-3.90E-06,51.45245245,-908.5061101,755.3264264,-541.7536798,159.5108108,-2321.354431,988.9009009,-1.12E-05,185.7673674,-12257.49967,3874.140541
51.06597431,52.19077945,50.08,128.6310647,51.94320002,156.7932848,1.060332876,21.9320883,0.024013318,44.07007151,0.073126174,139.5919316,0.025775199,134.1772659,0.291662807,1.00E-05,0.006453872,161.3295777,-10.34207691,50.51661662,-917.6172887,714.9339339,-954.4594224,473.3864865,-2156.542129,1075.502703,-1.71E-05,304.2146146,-12498.66574,3729.791491
68.2466967,63.38464675,77.09,128.1226375,76.25563063,150.4617597,0.744613181,84.25586564,0.030717159,64.40283522,0.080288791,178.3589394,0.023548621,125.1688912,0.253202202,32.81347455,0.006840846,158.0040524,-56.57693672,63.20660661,-1048.320179,764.8846847,-1110.733747,202.3810811,-2158.148728,1492.511111,-64.79697706,295.7990991,-11548.57545,3351.07988
103.5799375,104.6006957,105.08,133.0796396,104.9785045,150.444476,0.695244117,89.76138933,0.030751082,87.20488524,0.112699378,325.7440049,0.023670507,128.8292978,0.194726317,124.6407326,0.006699173,158.6253131,-64.5538647,105.4693694,-1417.915721,1654.2002,-1445.189897,98.3973974,-2170.612607,1476.810811,-320.0408001,188.0327327,-11839.17128,3238.882082
141.1092793,140.9507591,140.64,149.5525991,143.6223223,152.5868219,0.27233433,108.7729076,0.023597402,119.5258166,0.20759077,669.9323485,0.020488395,147.8202314,0.239273479,151.7602817,0.006336781,162.1620764,-199.7047298,268.3774775,-2532.605424,2294.390891,-1613.588958,0,-2843.53206,1412.384484,-317.1272519,220.3553554,-12795.30383,2980.478278
153.1880495,146.7539327,145.98,123.6725213,160.99752,150.4991432,0.136072339,112.5445193,0.03391112,140.5956975,0.277218266,941.5532382,0.027515851,113.6206808,0.204559865,104.6995732,0.006203463,159.7157266,-413.5466478,557.3544545,-2073.00286,1222.213614,-1698.216448,0,-1896.242631,1318.981081,-255.9142606,470.4881882,-12873.11028,3321.169169
159.1989709,145.5895669,147.05,142.1260795,179.9929522,159.754108,0.134828944,127.7268664,0.033673628,151.2286422,0.244771877,820.2894046,0.027359063,126.1962815,0.21082121,130.0706209,0.006236771,166.4158238,-473.6626373,546.2658659,-2245.505625,1123.973874,-1675.620203,0,-2111.880063,1765.918819,-308.4856142,424.6710711,-13341.50507,3063.544344
146.6614598,145.7928093,145.61,161.7669992,146.1808378,164.0828095,0.353999308,98.76295316,0.029114015,148.69589,0.273068508,917.4076807,0.030713814,154.5854456,0.93727241,53.44821817,0.006187404,172.1642439,-139.4959692,214.9192192,-2553.682307,1368.163363,-1679.812307,0,-2197.81129,1539.241642,-28.51263816,155.2843844,-13912.47799,2686.292192
142.612166,143.2857296,143.35,168.171031,144.4743423,172.0763722,0.376765228,87.93894936,0.028753181,152.7339633,0.189666559,667.1063383,0.025888282,161.2387776,0.930272348,57.09525429,0.006250761,177.1569611,-116.7025814,224.0992993,-2655.948977,1424.235135,-1758.629307,0,-2513.538491,1690.876877,-30.68738656,153.7636637,-14170.83145,2304.546547
146.5693798,144.1212706,144.38,168.0385965,143.4685661,173.7992653,0.349921333,99.34993506,0.031798491,141.6738606,0.152132951,516.8438832,0.027804148,153.6040077,0.919653574,59.68903712,0.006239812,178.9063168,-141.9603861,215.2666667,-2227.682134,1327.892092,-1698.658574,31.13513514,-2223.626248,1642.188889,-32.45191386,148.366967,-14335.87397,2202.547748
146.7313352,143.6312481,143.76,174.2834062,145.6885465,174.2490752,0.348276771,103.9364407,0.029941651,135.9649268,0.157334828,534.0886374,0.031807667,166.1841761,0.804282306,71.38286829,0.006336867,179.4838186,-149.2152928,200.7453453,-2270.498157,1531.101401,-1697.299461,0.282582583,-2135.886971,1369.275075,-44.37674916,146.6970971,-14161.87357,2165.015415
149.1369141,150.4530022,148.2,169.8702359,145.7863889,174.8201637,0.381027912,143.5847321,0.031651769,140.9025735,0.132279715,421.3698915,0.034083812,150.271407,0.794844042,72.16988672,0.006344546,180.0295443,-188.4176035,160.4225225,-2225.824621,1378.987387,-1592.723009,89.95135135,-1729.648505,1457.944545,-45.3987719,145.0875876,-14187.74049,2119.697998
154.1994444,155.5007749,155.34,168.2565662,153.1869453,172.3805263,0.262277115,145.399548,0.02834976,162.8781706,0.113551612,346.8414706,0.036166131,151.4776316,0.833504769,85.13013885,0.006147332,177.7698341,-277.1868754,207.3703704,-2872.655194,877.2710711,-1527.241509,93.29339339,-1640.458979,1378.617618,-51.06757754,144.2841842,-14459.10471,2330.3
162.4052703,162.5056041,162.89,171.7041673,163.5240803,167.0836837,0.24248008,151.3418624,0.031319563,164.522361,0.081084406,263.6595012,0.032979957,158.5830489,0.522859777,107.4114493,0.006119087,173.8788537,-312.070712,231.8981982,-2626.51112,733.8665666,-1625.833586,75.09189189,-2072.869748,1603.14995,-102.7153493,197.7003003,-14207.90828,2599.991592
177.1759175,166.4402883,170,216.2060185,188.4012072,170.4873485,0.170884554,184.9932975,0.024945449,165.8297465,0.066671038,233.4205819,0.030140681,194.9740943,0.563710045,137.1751114,0.006153124,175.9448807,-541.2815061,251.5657658,-3323.847699,341.6744745,-1750.539581,37.68488488,-2529.596256,1847.062963,-121.6716933,164.7283283,-14297.19933,2458.575375
